Location Names,Pan de Azucar Pte. R-9,Pan de Azucar Pte. R-9
Location Ids,71.0,71.0
Time,H.obs,Q.obs
2022-08-28 19:00:00,1.14,10.93
2022-08-28 19:30:00,1.13,10.76
2022-08-28 20:00:00,1.12,10.6
2022-08-28 20:30:00,1.11,10.43
2022-08-28 21:00:00,1.11,10.43
2022-08-28 21:30:00,1.1,10.26
2022-08-28 22:00:00,1.09,10.1
2022-08-28 22:30:00,1.09,10.1
2022-08-28 23:00:00,1.08,9.93
2022-08-28 23:30:00,1.07,9.76
2022-08-29 00:00:00,1.07,9.76
2022-08-29 00:30:00,1.06,9.48
2022-08-29 01:00:00,1.06,9.48
2022-08-29 01:30:00,1.05,9.2
2022-08-29 02:00:00,1.05,9.2
2022-08-29 02:30:00,1.04,8.92
2022-08-29 03:00:00,1.04,8.92
2022-08-29 03:30:00,1.03,8.65
2022-08-29 04:00:00,1.03,8.65
2022-08-29 04:30:00,1.03,8.65
2022-08-29 05:00:00,1.02,8.39
2022-08-29 05:30:00,1.02,8.39
2022-08-29 06:00:00,1.01,8.13
2022-08-29 06:30:00,1.01,8.13
2022-08-29 07:00:00,1.01,8.13
2022-08-29 07:30:00,1.0,7.88
2022-08-29 08:00:00,1.0,7.88
2022-08-29 08:30:00,1.0,7.88
2022-08-29 09:00:00,1.0,7.88
2022-08-29 09:30:00,0.99,7.63
2022-08-29 10:00:00,0.99,7.63
2022-08-29 10:30:00,0.99,7.63
2022-08-29 11:00:00,0.99,7.63
2022-08-29 11:30:00,0.99,7.63
2022-08-29 12:00:00,0.98,7.38
2022-08-29 12:30:00,0.98,7.38
2022-08-29 13:00:00,0.98,7.38
2022-08-29 13:30:00,0.98,7.38
2022-08-29 14:00:00,0.98,7.38
2022-08-29 14:30:00,0.97,7.14
2022-08-29 15:00:00,0.97,7.14
2022-08-29 15:30:00,0.97,7.14
2022-08-29 16:00:00,0.97,7.14
2022-08-29 16:30:00,0.97,7.14
2022-08-29 17:00:00,0.97,7.14
2022-08-29 17:30:00,0.96,6.91
2022-08-29 18:00:00,0.96,6.91
2022-08-29 18:30:00,0.96,6.91
2022-08-29 19:00:00,0.96,6.91
2022-08-29 19:30:00,0.95,6.67
2022-08-29 20:00:00,0.95,6.67
2022-08-29 20:30:00,0.95,6.67
2022-08-29 21:00:00,0.96,6.91
2022-08-29 21:30:00,0.95,6.67
2022-08-29 22:00:00,0.94,6.45
2022-08-29 22:30:00,0.94,6.45
2022-08-29 23:00:00,0.94,6.45
2022-08-29 23:30:00,0.94,6.45
2022-08-30 00:00:00,0.94,6.45
2022-08-30 00:30:00,0.93,6.23
2022-08-30 01:00:00,0.93,6.23
2022-08-30 01:30:00,0.93,6.23
2022-08-30 02:00:00,0.92,6.01
2022-08-30 02:30:00,0.92,6.01
2022-08-30 03:00:00,0.92,6.01
2022-08-30 03:30:00,0.92,6.01
2022-08-30 04:00:00,0.91,5.8
2022-08-30 04:30:00,0.91,5.8
2022-08-30 05:00:00,0.91,5.8
2022-08-30 05:30:00,0.91,5.8
2022-08-30 06:00:00,0.9,5.59
2022-08-30 06:30:00,0.9,5.59
2022-08-30 07:00:00,0.9,5.59
2022-08-30 07:30:00,0.9,5.59
2022-08-30 08:00:00,0.9,5.59
2022-08-30 08:30:00,0.89,5.38
2022-08-30 09:00:00,0.89,5.38
2022-08-30 09:30:00,0.89,5.38
2022-08-30 10:00:00,0.89,5.38
2022-08-30 10:30:00,0.89,5.38
2022-08-30 11:00:00,0.89,5.38
2022-08-30 11:30:00,0.89,5.38
2022-08-30 12:00:00,0.89,5.38
2022-08-30 12:30:00,0.89,5.38
2022-08-30 13:00:00,0.89,5.38
2022-08-30 13:30:00,0.89,5.38
2022-08-30 14:00:00,0.88,5.18
2022-08-30 14:30:00,0.89,5.38
2022-08-30 15:00:00,0.89,5.38
2022-08-30 15:30:00,0.89,5.38
2022-08-30 16:00:00,0.88,5.18
2022-08-30 16:30:00,0.88,5.18
2022-08-30 17:00:00,0.88,5.18
2022-08-30 17:30:00,0.88,5.18
2022-08-30 18:00:00,0.88,5.18
2022-08-30 18:30:00,0.88,5.18
2022-08-30 19:00:00,0.88,5.18
2022-08-30 19:30:00,0.88,5.18
2022-08-30 20:00:00,0.88,5.18
2022-08-30 20:30:00,0.88,5.18
2022-08-30 21:00:00,0.88,5.18
2022-08-30 21:30:00,0.87,4.99
2022-08-30 22:00:00,0.87,4.99
2022-08-30 22:30:00,0.87,4.99
2022-08-30 23:00:00,0.87,4.99
2022-08-30 23:30:00,0.87,4.99
2022-08-31 00:00:00,0.87,4.99
2022-08-31 00:30:00,0.87,4.99
2022-08-31 01:00:00,0.86,4.8
2022-08-31 01:30:00,0.86,4.8
2022-08-31 02:00:00,0.86,4.8
2022-08-31 02:30:00,0.86,4.8
2022-08-31 03:00:00,0.86,4.8
2022-08-31 03:30:00,0.86,4.8
2022-08-31 04:00:00,0.85,4.61
2022-08-31 04:30:00,0.85,4.61
2022-08-31 05:00:00,0.85,4.61
2022-08-31 05:30:00,0.85,4.61
2022-08-31 06:00:00,0.85,4.61
2022-08-31 06:30:00,0.85,4.61
2022-08-31 07:00:00,0.85,4.61
2022-08-31 07:30:00,0.84,4.43
2022-08-31 08:00:00,0.84,4.43
2022-08-31 08:30:00,0.84,4.43
