Location Names,Dayman Pte. R-3,Dayman Pte. R-3
Location Ids,140.0,140.0
Time,H.obs,Q.obs
2022-08-15 21:00:00,0.65,5.3
2022-08-15 21:30:00,0.65,5.07
2022-08-15 22:00:00,0.65,5.07
2022-08-15 22:30:00,0.65,5.07
2022-08-15 23:00:00,0.65,5.07
2022-08-15 23:30:00,0.65,5.07
2022-08-16 00:00:00,0.65,5.07
2022-08-16 00:30:00,0.65,5.07
2022-08-16 01:00:00,0.65,4.85
2022-08-16 01:30:00,0.65,5.07
2022-08-16 02:00:00,0.64,5.07
2022-08-16 02:30:00,0.64,5.07
2022-08-16 03:00:00,0.64,5.07
2022-08-16 03:30:00,0.64,5.07
2022-08-16 04:00:00,0.64,5.53
2022-08-16 04:30:00,0.64,5.53
2022-08-16 05:00:00,0.64,5.77
2022-08-16 05:30:00,0.62,5.77
2022-08-16 06:00:00,0.62,5.53
2022-08-16 06:30:00,0.62,5.53
2022-08-16 07:00:00,0.63,5.53
2022-08-16 07:30:00,0.64,5.53
2022-08-16 08:00:00,0.61,5.53
2022-08-16 08:30:00,0.61,5.3
2022-08-16 09:00:00,0.61,5.07
2022-08-16 09:30:00,0.6,5.3
2022-08-16 10:00:00,0.61,5.3
2022-08-16 10:30:00,0.6,4.85
2022-08-16 11:00:00,0.6,4.85
2022-08-16 11:30:00,0.6,4.63
2022-08-16 12:00:00,0.6,4.63
2022-08-16 12:30:00,0.6,5.07
2022-08-16 13:00:00,0.6,5.3
2022-08-16 13:30:00,0.6,5.3
2022-08-16 14:00:00,0.59,5.07
2022-08-16 14:30:00,0.6,5.07
2022-08-16 15:00:00,0.6,4.85
2022-08-16 15:30:00,0.6,4.63
2022-08-16 16:00:00,0.6,4.43
2022-08-16 16:30:00,0.6,4.43
2022-08-16 17:00:00,0.62,4.43
2022-08-16 17:30:00,0.62,4.43
2022-08-16 18:00:00,0.63,4.43
2022-08-16 18:30:00,0.63,4.43
2022-08-16 19:00:00,0.62,4.43
2022-08-16 19:30:00,0.62,4.43
2022-08-16 20:00:00,0.62,4.43
2022-08-16 20:30:00,0.62,4.43
2022-08-16 21:00:00,0.62,4.43
2022-08-16 21:30:00,0.61,4.43
2022-08-16 22:00:00,0.6,4.43
2022-08-16 22:30:00,0.61,4.43
2022-08-16 23:00:00,0.61,4.85
2022-08-16 23:30:00,0.59,5.07
2022-08-17 00:00:00,0.59,5.07
2022-08-17 00:30:00,0.58,4.43
2022-08-17 01:00:00,0.58,4.85
2022-08-17 01:30:00,0.6,4.63
2022-08-17 02:00:00,0.61,4.43
2022-08-17 02:30:00,0.61,4.43
2022-08-17 03:00:00,0.6,4.43
2022-08-17 03:30:00,0.6,4.43
2022-08-17 04:00:00,0.59,5.07
2022-08-17 04:30:00,0.58,4.85
2022-08-17 05:00:00,0.57,4.85
2022-08-17 05:30:00,0.57,4.85
2022-08-17 06:00:00,0.57,4.85
2022-08-17 06:30:00,0.57,4.63
2022-08-17 07:00:00,0.57,4.63
2022-08-17 07:30:00,0.57,4.63
2022-08-17 08:00:00,0.57,4.63
2022-08-17 08:30:00,0.57,4.63
2022-08-17 09:00:00,0.57,4.63
2022-08-17 09:30:00,0.57,4.63
2022-08-17 10:00:00,0.57,4.63
2022-08-17 10:30:00,0.57,4.63
2022-08-17 11:00:00,0.57,4.43
2022-08-17 11:30:00,0.57,4.43
2022-08-17 12:00:00,0.59,4.43
2022-08-17 12:30:00,0.6,4.23
2022-08-17 13:00:00,0.6,4.43
2022-08-17 13:30:00,0.57,4.43
2022-08-17 14:00:00,0.59,4.63
