Location Names,Po. de la Compañía,Po. de la Compañía
Location Ids,61.0,61.0
Time,H.obs,Q.obs
2022-08-12 23:00:00,0.79,7.43
2022-08-12 23:30:00,0.78,7.1
2022-08-13 00:00:00,0.78,7.1
2022-08-13 00:30:00,0.78,7.1
2022-08-13 01:00:00,0.78,7.1
2022-08-13 01:30:00,0.78,7.1
2022-08-13 02:00:00,0.77,6.78
2022-08-13 02:30:00,0.77,6.78
2022-08-13 03:00:00,0.77,6.78
2022-08-13 03:30:00,0.77,6.78
2022-08-13 04:00:00,0.77,6.78
2022-08-13 04:30:00,0.77,6.78
2022-08-13 05:00:00,0.77,6.78
2022-08-13 05:30:00,0.77,6.78
2022-08-13 06:00:00,0.76,6.47
2022-08-13 06:30:00,0.76,6.47
2022-08-13 07:00:00,0.76,6.47
2022-08-13 07:30:00,0.76,6.47
2022-08-13 08:00:00,0.76,6.47
2022-08-13 08:30:00,0.76,6.47
2022-08-13 09:00:00,0.76,6.47
2022-08-13 09:30:00,0.76,6.47
2022-08-13 10:00:00,0.76,6.47
2022-08-13 10:30:00,0.75,6.16
2022-08-13 11:00:00,0.75,6.16
2022-08-13 11:30:00,0.75,6.16
2022-08-13 12:00:00,0.75,6.16
2022-08-13 12:30:00,0.75,6.16
2022-08-13 13:00:00,0.75,6.16
2022-08-13 13:30:00,0.75,6.16
2022-08-13 14:00:00,0.75,6.16
2022-08-13 14:30:00,0.75,6.16
2022-08-13 15:00:00,0.75,6.16
2022-08-13 15:30:00,0.74,5.87
2022-08-13 16:00:00,0.74,5.87
2022-08-13 16:30:00,0.74,5.87
2022-08-13 17:00:00,0.74,5.87
2022-08-13 17:30:00,0.74,5.87
2022-08-13 18:00:00,0.74,5.87
2022-08-13 18:30:00,0.74,5.87
2022-08-13 19:00:00,0.74,5.87
2022-08-13 19:30:00,0.74,5.87
2022-08-13 20:00:00,0.73,5.58
2022-08-13 20:30:00,0.73,5.58
2022-08-13 21:00:00,0.73,5.58
2022-08-13 21:30:00,0.73,5.58
2022-08-13 22:00:00,0.73,5.58
2022-08-13 22:30:00,0.73,5.58
2022-08-13 23:00:00,0.73,5.58
2022-08-13 23:30:00,0.73,5.58
2022-08-14 00:00:00,0.72,5.3
2022-08-14 00:30:00,0.72,5.3
2022-08-14 01:00:00,0.72,5.3
2022-08-14 01:30:00,0.72,5.3
2022-08-14 02:00:00,0.72,5.3
2022-08-14 02:30:00,0.72,5.3
2022-08-14 03:00:00,0.72,5.3
2022-08-14 03:30:00,0.72,5.3
2022-08-14 04:00:00,0.72,5.3
2022-08-14 04:30:00,0.72,5.3
2022-08-14 05:00:00,0.71,5.03
2022-08-14 05:30:00,0.71,5.03
2022-08-14 06:00:00,0.71,5.03
2022-08-14 06:30:00,0.71,5.03
2022-08-14 07:00:00,0.71,5.03
2022-08-14 07:30:00,0.71,5.03
2022-08-14 08:00:00,0.71,5.03
2022-08-14 08:30:00,0.71,5.03
2022-08-14 09:00:00,0.71,5.03
2022-08-14 09:30:00,0.71,5.03
2022-08-14 10:00:00,0.71,5.03
2022-08-14 10:30:00,0.7,4.76
2022-08-14 11:00:00,0.71,5.03
2022-08-14 11:30:00,0.71,5.03
2022-08-14 12:00:00,0.7,4.76
2022-08-14 12:30:00,0.7,4.76
2022-08-14 13:00:00,0.7,4.76
2022-08-14 13:30:00,0.7,4.76
2022-08-14 14:00:00,0.7,4.76
2022-08-14 14:30:00,0.7,4.76
2022-08-14 15:00:00,0.7,4.76
2022-08-14 15:30:00,0.7,4.76
2022-08-14 16:00:00,0.7,4.76
2022-08-14 16:30:00,0.7,4.76
2022-08-14 17:00:00,0.7,4.76
2022-08-14 17:30:00,0.7,4.76
2022-08-14 18:00:00,0.69,4.51
2022-08-14 18:30:00,0.69,4.51
2022-08-14 19:00:00,0.69,4.51
2022-08-14 19:30:00,0.69,4.51
2022-08-14 20:00:00,0.69,4.51
2022-08-14 20:30:00,0.69,4.51
2022-08-14 21:00:00,0.69,4.51
2022-08-14 21:30:00,0.69,4.51
2022-08-14 22:00:00,0.69,4.51
2022-08-14 22:30:00,0.69,4.51
2022-08-14 23:00:00,0.68,4.26
2022-08-14 23:30:00,0.68,4.26
2022-08-15 00:00:00,0.68,4.26
2022-08-15 00:30:00,0.68,4.26
2022-08-15 01:00:00,0.68,4.26
2022-08-15 01:30:00,0.68,4.26
2022-08-15 02:00:00,0.68,4.26
2022-08-15 02:30:00,0.68,4.26
2022-08-15 03:00:00,0.68,4.26
2022-08-15 03:30:00,0.68,4.26
2022-08-15 04:00:00,0.68,4.26
2022-08-15 04:30:00,0.68,4.26
2022-08-15 05:00:00,0.68,4.26
2022-08-15 05:30:00,0.68,4.26
2022-08-15 06:00:00,0.68,4.26
2022-08-15 06:30:00,0.67,4.02
2022-08-15 07:00:00,0.67,4.02
2022-08-15 07:30:00,0.67,4.02
2022-08-15 08:00:00,0.67,4.02
2022-08-15 08:30:00,0.67,4.02
2022-08-15 09:00:00,0.67,4.02
2022-08-15 09:30:00,0.67,4.02
2022-08-15 10:00:00,0.67,4.02
2022-08-15 10:30:00,0.67,4.02
2022-08-15 11:00:00,0.67,4.02
2022-08-15 11:30:00,0.67,4.02
2022-08-15 12:00:00,0.67,4.02
2022-08-15 12:30:00,0.67,4.02
2022-08-15 13:00:00,0.67,4.02
2022-08-15 13:30:00,0.67,4.02
2022-08-15 14:00:00,0.67,4.02
2022-08-15 14:30:00,0.67,4.02
2022-08-15 15:00:00,0.67,4.02
2022-08-15 15:30:00,0.67,4.02
2022-08-15 16:00:00,0.67,4.02
2022-08-15 16:30:00,0.67,4.02
2022-08-15 17:00:00,0.66,3.78
2022-08-15 17:30:00,0.66,3.78
2022-08-15 18:00:00,0.66,3.78
2022-08-15 18:30:00,0.66,3.78
2022-08-15 19:00:00,0.66,3.78
2022-08-15 19:30:00,0.66,3.78
2022-08-15 20:00:00,0.66,3.78
2022-08-15 20:30:00,0.66,3.78
2022-08-15 21:00:00,0.66,3.78
2022-08-15 21:30:00,0.66,3.78
2022-08-15 22:00:00,0.66,3.78
2022-08-15 22:30:00,0.65,3.56
2022-08-15 23:00:00,0.66,3.78
2022-08-15 23:30:00,0.65,3.56
2022-08-16 00:00:00,0.65,3.56
2022-08-16 00:30:00,0.65,3.56
2022-08-16 01:00:00,0.65,3.56
2022-08-16 01:30:00,0.65,3.56
2022-08-16 02:00:00,0.65,3.56
2022-08-16 02:30:00,0.65,3.56
2022-08-16 03:00:00,0.65,3.56
2022-08-16 03:30:00,0.65,3.56
2022-08-16 04:00:00,0.65,3.56
2022-08-16 04:30:00,0.65,3.56
2022-08-16 05:00:00,0.65,3.56
2022-08-16 05:30:00,0.65,3.56
2022-08-16 06:00:00,0.65,3.56
2022-08-16 06:30:00,0.64,3.34
2022-08-16 07:00:00,0.64,3.34
2022-08-16 07:30:00,0.64,3.34
2022-08-16 08:00:00,0.64,3.34
2022-08-16 08:30:00,0.64,3.34
2022-08-16 09:00:00,0.64,3.34
2022-08-16 09:30:00,0.64,3.34
2022-08-16 10:00:00,0.64,3.34
2022-08-16 10:30:00,0.64,3.34
2022-08-16 11:00:00,0.64,3.34
2022-08-16 11:30:00,0.64,3.34
2022-08-16 12:00:00,0.64,3.34
2022-08-16 12:30:00,0.64,3.34
2022-08-16 13:00:00,0.64,3.34
2022-08-16 13:30:00,0.64,3.34
2022-08-16 14:00:00,0.64,3.34
2022-08-16 14:30:00,0.64,3.34
2022-08-16 15:00:00,0.64,3.34
2022-08-16 15:30:00,0.64,3.34
2022-08-16 16:00:00,0.64,3.34
2022-08-16 16:30:00,0.64,3.34
2022-08-16 17:00:00,0.64,3.34
2022-08-16 17:30:00,0.64,3.34
2022-08-16 18:00:00,0.64,3.34
2022-08-16 18:30:00,0.63,3.13
2022-08-16 19:00:00,0.63,3.13
2022-08-16 19:30:00,0.63,3.13
2022-08-16 20:00:00,0.63,3.13
2022-08-16 20:30:00,0.63,3.13
2022-08-16 21:00:00,0.63,3.13
2022-08-16 21:30:00,0.63,3.13
2022-08-16 22:00:00,0.63,3.13
2022-08-16 22:30:00,0.63,3.13
2022-08-16 23:00:00,0.63,3.13
2022-08-16 23:30:00,0.63,3.13
2022-08-17 00:00:00,0.63,3.13
2022-08-17 00:30:00,0.63,3.13
2022-08-17 01:00:00,0.63,3.13
2022-08-17 01:30:00,0.63,3.13
2022-08-17 02:00:00,0.63,3.13
2022-08-17 02:30:00,0.63,3.13
2022-08-17 03:00:00,0.63,3.13
2022-08-17 03:30:00,0.63,3.13
2022-08-17 04:00:00,0.63,3.13
2022-08-17 04:30:00,0.62,2.92
