Location Names,Paso de los Troncos
Location Ids,119.0
Time,Q.obs
2021-10-24 07:00:00,0.614
2021-10-24 13:00:00,0.389
2021-10-24 19:00:00,0.614
2021-10-25 07:00:00,0.614
2021-10-25 13:00:00,0.614
2021-10-25 19:00:00,0.614
2021-10-26 07:00:00,0.614
2021-10-26 13:00:00,0.614
2021-10-26 19:00:00,0.389
2021-10-27 07:00:00,0.614
2021-10-27 13:00:00,0.389
2021-10-27 19:00:00,0.389
2021-10-28 07:00:00,0.389
2021-10-28 13:00:00,0.389
2021-10-28 19:00:00,0.389
2021-10-29 07:00:00,0.389
2021-10-29 13:00:00,0.389
2021-10-29 19:00:00,0.389
2021-10-30 07:00:00,0.389
2021-10-30 19:00:00,0.389
2021-11-01 07:00:00,0.229
2021-11-01 19:00:00,0.229
2021-11-02 07:00:00,0.389
2021-11-02 13:00:00,0.614
2021-11-03 07:00:00,0.870
2021-11-03 13:00:00,1.355
2021-11-03 19:00:00,2.307
2021-11-04 13:00:00,1.959
2021-11-04 19:00:00,1.642
2021-11-05 13:00:00,1.355
2021-11-05 19:00:00,1.355
2021-11-06 07:00:00,1.355
2021-11-06 13:00:00,1.098
2021-11-06 19:00:00,1.098
2021-11-07 07:00:00,0.870
2021-11-07 13:00:00,0.614
2021-11-08 19:00:00,0.389
2021-11-09 19:00:00,0.389
2021-11-10 19:00:00,0.389
2021-11-11 07:00:00,0.389
2021-11-11 13:00:00,0.389
2021-11-11 19:00:00,0.389
2021-11-12 07:00:00,0.389
2021-11-13 07:00:00,0.229
2021-11-13 13:00:00,0.229
2021-11-13 19:00:00,0.229
2021-11-14 07:00:00,0.229
2021-11-14 13:00:00,0.229
2021-11-14 19:00:00,0.229
2021-11-15 07:00:00,0.229
2021-11-15 13:00:00,0.229
2021-11-15 19:00:00,0.229
2021-11-16 07:00:00,0.229
2021-11-16 13:00:00,0.229
2021-11-16 19:00:00,0.229
2021-11-17 07:00:00,0.229
2021-11-17 13:00:00,0.229
2021-11-17 19:00:00,0.229
2021-11-18 07:00:00,0.229
2021-11-18 19:00:00,0.229
2021-11-19 07:00:00,0.229
2021-11-19 19:00:00,0.229
2021-11-20 07:00:00,0.229
2021-11-20 13:00:00,0.123
2021-11-20 19:00:00,0.123
2021-11-21 07:00:00,0.123
2021-11-21 19:00:00,0.123
2021-11-22 07:00:00,0.123
2021-11-22 19:00:00,0.123
2021-11-23 07:00:00,0.123
2021-11-23 19:00:00,0.123
2021-11-24 07:00:00,0.123
2021-11-24 13:00:00,0.123
2021-11-24 19:00:00,0.123
2021-11-25 07:00:00,0.123
2021-11-25 19:00:00,0.123
2021-11-26 07:00:00,0.123
2021-11-26 13:00:00,0.123
2021-11-26 19:00:00,0.123
2021-11-27 07:00:00,0.123
2021-11-27 13:00:00,0.123
2021-11-27 19:00:00,0.123
2021-11-28 07:00:00,0.123
2021-11-28 13:00:00,0.123
2021-11-28 19:00:00,0.123
2021-11-29 07:00:00,0.229
2021-11-29 13:00:00,0.229
2021-11-29 19:00:00,0.389
2021-11-30 07:00:00,0.389
2021-12-01 07:00:00,0.614
2021-12-01 13:00:00,0.389
2021-12-01 19:00:00,0.870
2021-12-02 07:00:00,0.870
2021-12-02 19:00:00,0.614
2021-12-03 07:00:00,0.614
2021-12-03 19:00:00,0.389
