Lookout			
Dag	P[mm/d]	T[C]	Q[mm/d]
19520128	0	5.311111111	4.899422353
19520129	0	5.866666667	4.97781311
19520130	0	7.811111111	9.289304781
19520131	73.92924	6.977777778	17.12838054
19520201	0	7.533333333	27.2015929
19520202	0	5.588888889	26.49607608
19520203	0	5.033333333	28.25986813
19520204	91.85148	6.7	33.78641654
19520205	0	5.588888889	23.90918108
19520206	0	6.977777778	16.07010532
19520207	0	7.533333333	11.79780903
19520208	0	7.533333333	9.485281675
19520209	0	7.5	8.427006446
19520210	0	8.088888889	7.839075764
19520211	4.48056	9.755555556	7.721489628
19520212	17.28216	3.922222222	7.251145082
19520213	0	0.866666667	6.428042127
19520214	0	2.255555556	6.428042127
19520215	26.88336	4.755555556	6.584823642
19520216	0	1.977777778	7.055168188
19520217	0	1.144444444	6.31045599
19520218	27.2034	1.7	5.64413455
19520219	8.64108	-0.522222222	5.212985383
19520220	10.88136	0.588888889	4.625054701
19520221	0	-0.244444444	4.115514776
19520222	36.8046	1.977777778	3.841147124
19520223	0	3	3.801951746
19520224	0	2.811111111	3.605974852
19520225	0	7.533333333	3.723560988
19520226	0	4.755555556	3.919537882
19520227	0	6.977777778	4.389882428
19520228	0	5.033333333	4.546663943
19520229	0	3.644444444	4.389882428
19520301	0	3.088888889	4.115514776
19520302	0	1.144444444	3.919537882
19520303	23.04288	2.255555556	3.801951746
19520304	0	3.922222222	3.801951746
19520305	0	1.422222222	3.605974852
19520306	0	1.7	3.409997957
19520307	0	2.533333333	3.253216442
19520308	0	6.144444444	3.096434927
19520309	0	5.866666667	3.605974852
19520310	0	4.2	5.487353035
19520311	0	3.922222222	4.899422353
19520312	0	4.2	4.350687049
19520313	0	4.755555556	3.919537882
19520314	0	5.033333333	3.64517023
19520315	0	3.366666667	3.370802579
19520316	0	5.866666667	3.253216442
19520317	55.36692	6.144444444	3.214021063
19520318	24.64308	5.5	3.253216442
19520319	7.36092	4.5	3.096434927
19520320	6.72084	3.922222222	2.900458033
19520321	4.16052	2.811111111	2.782871896
19520322	0	4.477777778	2.743676517
19520323	0	8.366666667	3.762756367
19520324	80.65008	5.588888889	17.12838054
19520325	22.08276	7.533333333	17.87309274
19520326	0	7.533333333	17.32435744
19520327	0	9.2	15.52137001
19520328	1.92024	11.7	15.01183009
19520329	0	2.533333333	12.66010736
19520330	34.88436	4.2	12.66010736
19520331	0	4.755555556	12.93447501
19520401	0	4.2	10.46516615
19520402	20.48256	7.255555556	10.7395338
19520403	0	9.6	10.46516615
19520404	0	13.45	10.11240774
19520405	0	15	12.7776935
19520406	0	10.65	17.52033433
19520407	0	6.7	17.32435744
19520408	0	7.6	13.83596872
19520409	0	9.1	11.24907372
19520410	0	9.65	10.34758001
19520411	0	11.15	10.11240774
19520412	0	10.6	9.838040084
19520413	1.92024	5.6	10.7395338
19520414	13.44168	3.8	11.13148759
19520415	0	5.35	10.22999387
19520416	0	8.85	9.250109402
19520417	0	12.75	9.838040084
19520418	0	11.15	13.40481956
19520419	9.92124	9	14.18872713
19520420	0	9.15	10.58275228
19520421	0	8.6	8.897350992
19520422	0	13.9	8.348615689
19520423	0	11.5	8.231029552
19520424	0	10.1	9.485281675
19520425	5.76072	10.5	11.79780903
19520426	0	14.1	12.07217668
19520427	0	11.05	11.52344137
19520428	18.24228	3.75	11.52344137
19520429	0.64008	6.75	8.348615689
19520430	10.56132	9.7	7.525512734
19520501	6.4008	6.85	7.055168188
19520502	0	6.15	6.31045599
19520503	0	6.9	5.722525308
19520504	0	6.25	5.134594626
19520505	0	6.95	4.742640837
19520506	0	10.75	4.625054701
19520507	0	10.75	4.899422353
19520508	0	10.75	6.153674475
19520509	0	10.45	5.99689296
19520510	0	13.64444444	6.153674475
19520511	0	12.9	6.780800536
19520512	0	12.1	6.97677743
19520513	17.28216	7.6	7.839075764
19520514	10.24128	8.1	7.32953584
19520515	0	12.1	6.506432884
19520516	0	13.25	6.6632144
19520517	0	14.3	7.525512734
19520518	0	14.5	7.721489628
19520519	6.08076	11.05	7.839075764
19520520	3.84048	13.35	7.32953584
19520521	0	11.8	6.428042127
19520522	0	12.75	5.64413455
19520523	0	15.05	5.879306823
19520524	0	12.5	6.153674475
19520525	0	13.5	5.99689296
19520526	0	15.4	5.565743793
19520527	0	16.9	5.64413455
19520528	0.64008	13	5.800916065
19520529	0	12.85	4.97781311
19520530	0	10.31111111	4.546663943
19520531	0	13.64444444	4.115514776
19520601	0	9.477777778	3.64517023
19520602	0	13.92222222	3.605974852
19520603	0	16.5	3.64517023
19520604	0	15.6	3.64517023
19520605	0	15.25	3.841147124
19520606	0	14.1	3.605974852
19520607	0	17.3	3.214021063
19520608	0	17.6	3.096434927
19520609	0	14.9	3.096434927
19520610	0.96012	10.95	2.900458033
19520611	13.44168	6.05	2.822067275
19520612	6.4008	7.9	2.547699623
19520613	3.84048	9.5	2.390918108
19520614	7.04088	11.14444444	2.390918108
19520615	0	7.811111111	2.430113487
19520616	0	10.45	2.194941214
19520617	0	15.75	2.194941214
19520618	0	16	2.155745835
19520619	0	18.05	2.116550456
19520620	0	9.65	2.077355078
19520621	0	12.25	1.99896432
19520622	0	13.85	1.842182805
19520623	0	8.85	1.920573562
19520624	0	12.53333333	2.038159699
19520625	0	13.3	1.881378183
